gs1_ai_number,gs1_ai_regex,gs1_ai_format,gs1_ai_format_terms,gs1_ai_format_length_varies,gs1_ai_format_length_total_with_ai_and_fnc1,gs1_ai_format_length_min,gs1_ai_format_length_max,gs1_ai_term1_format,gs1_ai_term1_length_fixed,gs1_ai_term2_format,gs1_ai_term2_datatype,gs1_ai_term2_length_fixed,gs1_ai_term2_length_variable,gs1_ai_term3_format,gs1_ai_term3_datatype,gs1_ai_term3_length_fixed,gs1_ai_term3_length_variable,gs1_ai_FNC1_required,gs1_ai_description,gs1_ai_name,gs1_ai_note,gs1_ai_url
3465,^3465(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Width, diameter, or second dimension, yard","WIDTH (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3465?lang=en
3470,^3470(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches","HEIGHT (in), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3470?lang=en
3471,^3471(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches","HEIGHT (in), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3471?lang=en
3472,^3472(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches","HEIGHT (in), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3472?lang=en
3473,^3473(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches","HEIGHT (in), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3473?lang=en
3474,^3474(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches","HEIGHT (in), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3474?lang=en
3475,^3475(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, inches","HEIGHT (in), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3475?lang=en
3480,^3480(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet","HEIGHT (ft), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3480?lang=en
3481,^3481(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet","HEIGHT (ft), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3481?lang=en
3482,^3482(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet","HEIGHT (ft), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3482?lang=en
3483,^3483(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet","HEIGHT (ft), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3483?lang=en
3484,^3484(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet","HEIGHT (ft), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3484?lang=en
3485,^3485(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, feet","HEIGHT (ft), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3485?lang=en
3490,^3490(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards","HEIGHT (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3490?lang=en
3491,^3491(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards","HEIGHT (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3491?lang=en
3492,^3492(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards","HEIGHT (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3492?lang=en
3493,^3493(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards","HEIGHT (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3493?lang=en
3494,^3494(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards","HEIGHT (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3494?lang=en
3495,^3495(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Depth, thickness, height, or third dimension, yards","HEIGHT (yd), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3495?lang=en
3500,^3500(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches (variable measure trade item)",AREA (in^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3500?lang=en
3501,^3501(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches (variable measure trade item)",AREA (in^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3501?lang=en
3502,^3502(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches (variable measure trade item)",AREA (in^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3502?lang=en
3503,^3503(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches (variable measure trade item)",AREA (in^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3503?lang=en
3504,^3504(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches (variable measure trade item)",AREA (in^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3504?lang=en
3505,^3505(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches (variable measure trade item)",AREA (in^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3505?lang=en
3510,^3510(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet (variable measure trade item)",AREA (ft^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3510?lang=en
3511,^3511(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet (variable measure trade item)",AREA (ft^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3511?lang=en
3512,^3512(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet (variable measure trade item)",AREA (ft^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3512?lang=en
3513,^3513(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet (variable measure trade item)",AREA (ft^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3513?lang=en
3514,^3514(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet (variable measure trade item)",AREA (ft^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3514?lang=en
3515,^3515(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet (variable measure trade item)",AREA (ft^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3515?lang=en
3520,^3520(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards (variable measure trade item)",AREA (yd^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3520?lang=en
3521,^3521(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards (variable measure trade item)",AREA (yd^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3521?lang=en
3522,^3522(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards (variable measure trade item)",AREA (yd^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3522?lang=en
3523,^3523(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards (variable measure trade item)",AREA (yd^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3523?lang=en
3524,^3524(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards (variable measure trade item)",AREA (yd^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3524?lang=en
3525,^3525(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards (variable measure trade item)",AREA (yd^2),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3525?lang=en
3530,^3530(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches","AREA (in^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3530?lang=en
3531,^3531(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches","AREA (in^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3531?lang=en
3532,^3532(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches","AREA (in^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3532?lang=en
3533,^3533(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches","AREA (in^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3533?lang=en
3534,^3534(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches","AREA (in^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3534?lang=en
3535,^3535(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square inches","AREA (in^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3535?lang=en
3540,^3540(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet","AREA (ft^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3540?lang=en
3541,^3541(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet","AREA (ft^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3541?lang=en
3542,^3542(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet","AREA (ft^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3542?lang=en
3543,^3543(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet","AREA (ft^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3543?lang=en
3544,^3544(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet","AREA (ft^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3544?lang=en
3545,^3545(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square feet","AREA (ft^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3545?lang=en
3550,^3550(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards","AREA (yd^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3550?lang=en
3551,^3551(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards","AREA (yd^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3551?lang=en
3552,^3552(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards","AREA (yd^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3552?lang=en
3553,^3553(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards","AREA (yd^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3553?lang=en
3554,^3554(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards","AREA (yd^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3554?lang=en
3555,^3555(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Area, square yards","AREA (yd^2), log","The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3555?lang=en
3560,^3560(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, troy ounces (variable measure trade item)",NET WEIGHT (t oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3560?lang=en
3561,^3561(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, troy ounces (variable measure trade item)",NET WEIGHT (t oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3561?lang=en
3562,^3562(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, troy ounces (variable measure trade item)",NET WEIGHT (t oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3562?lang=en
3563,^3563(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, troy ounces (variable measure trade item)",NET WEIGHT (t oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3563?lang=en
3564,^3564(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, troy ounces (variable measure trade item)",NET WEIGHT (t oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3564?lang=en
3565,^3565(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight, troy ounces (variable measure trade item)",NET WEIGHT (t oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3565?lang=en
3570,^3570(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight (or volume), ounces (variable measure trade item)",NET VOLUME (oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3570?lang=en
3571,^3571(\d{6})$,N4+N6,2,FALSE,10,6,6,N4,4,N6,N,6,,,,,,FALSE,"Net weight (or volume), ounces (variable measure trade item)",NET VOLUME (oz),"The fourth digit of this AI indicates the number of decimal places. For example if the fourth digit is 3 the decimal is in the 3rd position (nnn.nnn), if the fourth digit is 1 the decimal is in the 1st position (nnnnn.n). See GS1 General Specifications for full details.",https://www.gs1.org/standards/barcodes/application-identifiers/3571?lang=en
